,PANDAID,MODIFTIME_EXTENDED,PRE-FAILED/FAILED,COMPUTINGSITE,MODIFICATIONHOST,ATTEMPTNR,FINAL_STATUS,START_TS,END_TS,DURATION
175,4729445847,2020-05-18 18:29:01.863469,failed,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:29:01.863469,2020-05-25 19:36:58.446323,169.1323841261111
179,4729445847,2020-05-25 19:36:58.446323,failed,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-25 19:36:58.446323,2020-05-25 19:36:58.446323,0.0
177,4729445847,2020-05-18 18:22:04.117444,holding,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:22:04.117444,2020-05-18 18:29:01.863469,0.11604056250000001
189,4729445848,2020-05-18 18:33:13.079365,failed,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:33:13.079365,2020-05-25 19:36:58.558593,169.0626331188889
190,4729445848,2020-05-25 19:36:58.558593,failed,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-25 19:36:58.558593,2020-05-25 19:36:58.558593,0.0
188,4729445848,2020-05-18 18:27:00.608319,holding,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:27:00.608319,2020-05-18 18:33:13.079365,0.10346417944444444
200,4729445849,2020-05-18 18:33:12.986504,failed,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:33:12.986504,2020-05-25 19:36:58.667572,169.06268918555557
201,4729445849,2020-05-25 19:36:58.667572,failed,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-25 19:36:58.667572,2020-05-25 19:36:58.667572,0.0
199,4729445849,2020-05-18 18:27:00.625334,holding,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:27:00.625334,2020-05-18 18:33:12.986504,0.10343365833333333
211,4729445850,2020-05-18 18:33:13.743573,failed,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:33:13.743573,2020-05-25 19:36:58.728696,169.0624958675
