,PANDAID,MODIFTIME_EXTENDED,JOBSTATUS,COMPUTINGSITE,MODIFICATIONHOST,ATTEMPTNR,FINAL_STATUS,START_TS,END_TS,DURATION,STATUS_LEVEL,SEQUENCE
487,4729445888,2020-05-15 12:33:46.028646,pending,ANALY_DCSC,aipanda042.cern.ch,1,failed,2020-05-15 12:33:46.028646,2020-05-15 12:33:56.813438,0.002995775555555556,0,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'failed']"
485,4729445888,2020-05-15 12:33:56.813438,defined,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-15 12:33:56.813438,2020-05-15 12:34:05.095496,0.002300571666666667,1,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'failed']"
486,4729445888,2020-05-15 12:34:05.095496,defined,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-15 12:34:05.095496,2020-05-16 18:13:08.354872,29.650905382222223,1,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'failed']"
488,4729445888,2020-05-16 18:13:08.354872,activated,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-16 18:13:08.354872,2020-05-20 07:19:40.566482,85.10894766944445,2,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'failed']"
489,4729445888,2020-05-20 07:19:40.566482,sent,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-20 07:19:40.566482,2020-05-20 07:19:42.581925,0.0005598452777777779,3,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'failed']"
490,4729445888,2020-05-20 07:19:42.581925,starting,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-20 07:19:42.581925,2020-05-20 20:25:04.383322,13.089389276944445,4,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'failed']"
491,4729445888,2020-05-20 20:25:04.383322,running,ANALY_DCSC,aipanda057.cern.ch,1,failed,2020-05-20 20:25:04.383322,2020-05-25 12:26:03.756828,112.01649264055555,5,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'failed']"
492,4729445888,2020-05-25 12:26:03.756828,failed,ANALY_DCSC,aipanda057.cern.ch,1,failed,2020-05-25 12:26:03.756828,2020-05-25 12:26:03.761337,1.2524999999999999e-06,6,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'failed']"
493,4729445888,2020-05-25 12:26:03.761337,failed,ANALY_DCSC,aipanda189.cern.ch,1,failed,2020-05-25 12:26:03.761337,2020-05-25 12:26:03.761337,0.0,6,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'failed']"
573,4729445908,2020-05-15 12:33:46.487829,pending,ANALY_DCSC,aipanda042.cern.ch,1,failed,2020-05-15 12:33:46.487829,2020-05-15 12:33:57.033323,0.002929303888888889,0,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'failed']"
571,4729445908,2020-05-15 12:33:57.033323,defined,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-15 12:33:57.033323,2020-05-15 12:34:05.326155,0.002303564444444445,1,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'failed']"
572,4729445908,2020-05-15 12:34:05.326155,defined,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-15 12:34:05.326155,2020-05-16 18:13:08.600171,29.650909448888893,1,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'failed']"
574,4729445908,2020-05-16 18:13:08.600171,activated,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-16 18:13:08.600171,2020-05-20 23:03:06.741626,100.83281707083334,2,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'failed']"
575,4729445908,2020-05-20 23:03:06.741626,sent,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-20 23:03:06.741626,2020-05-20 23:03:07.923016,0.00032816388888888895,3,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'failed']"
576,4729445908,2020-05-20 23:03:07.923016,starting,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-20 23:03:07.923016,2020-05-21 04:37:41.235781,5.575920212500001,4,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'failed']"
577,4729445908,2020-05-21 04:37:41.235781,running,ANALY_DCSC,aipanda053.cern.ch,1,failed,2020-05-21 04:37:41.235781,2020-05-25 12:26:03.919161,103.80630093888888,5,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'failed']"
578,4729445908,2020-05-25 12:26:03.919161,failed,ANALY_DCSC,aipanda057.cern.ch,1,failed,2020-05-25 12:26:03.919161,2020-05-25 12:26:03.919161,0.0,6,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'failed']"
581,4729445909,2020-05-15 12:33:46.518909,pending,ANALY_DCSC,aipanda042.cern.ch,1,failed,2020-05-15 12:33:46.518909,2020-05-15 12:33:57.051777,0.002925796666666667,0,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'failed']"
579,4729445909,2020-05-15 12:33:57.051777,defined,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-15 12:33:57.051777,2020-05-15 12:34:05.354449,0.002306297777777778,1,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'failed']"
580,4729445909,2020-05-15 12:34:05.354449,defined,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-15 12:34:05.354449,2020-05-16 18:13:08.614725,29.650905632222223,1,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'failed']"
582,4729445909,2020-05-16 18:13:08.614725,activated,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-16 18:13:08.614725,2020-05-20 23:03:06.833559,100.832838565,2,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'failed']"
583,4729445909,2020-05-20 23:03:06.833559,sent,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-20 23:03:06.833559,2020-05-20 23:03:07.937306,0.00030659638888888894,3,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'failed']"
584,4729445909,2020-05-20 23:03:07.937306,starting,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-20 23:03:07.937306,2020-05-21 04:37:41.252581,5.575920909722223,4,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'failed']"
585,4729445909,2020-05-21 04:37:41.252581,running,ANALY_DCSC,aipanda053.cern.ch,1,failed,2020-05-21 04:37:41.252581,2020-05-25 12:26:04.057588,103.80633472416667,5,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'failed']"
587,4729445909,2020-05-25 12:26:04.057588,failed,ANALY_DCSC,aipanda189.cern.ch,1,failed,2020-05-25 12:26:04.057588,2020-05-25 12:26:04.074611,4.728611111111111e-06,6,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'failed']"
586,4729445909,2020-05-25 12:26:04.074611,failed,ANALY_DCSC,aipanda057.cern.ch,1,failed,2020-05-25 12:26:04.074611,2020-05-25 12:26:04.074611,0.0,6,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'failed']"
590,4729445911,2020-05-15 12:33:46.549618,pending,ANALY_DCSC,aipanda042.cern.ch,1,failed,2020-05-15 12:33:46.549618,2020-05-15 12:33:57.072033,0.0029228930555555556,0,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'failed']"
588,4729445911,2020-05-15 12:33:57.072033,defined,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-15 12:33:57.072033,2020-05-15 12:34:05.383085,0.0023086255555555555,1,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'failed']"
589,4729445911,2020-05-15 12:34:05.383085,defined,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-15 12:34:05.383085,2020-05-16 18:13:08.628539,29.650901515,1,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'failed']"
