,PANDAID,MODIFTIME_EXTENDED,JOBSTATUS,COMPUTINGSITE,MODIFICATIONHOST,ATTEMPTNR,FINAL_STATUS,START_TS,END_TS,DURATION,STATUS_LEVEL,SEQUENCE
171,4729445847,2020-05-15 12:33:44.699062,pending,ANALY_DCSC,aipanda042.cern.ch,1,failed,2020-05-15 12:33:44.699062,2020-05-15 12:33:56.089714,0.00316407,0,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
169,4729445847,2020-05-15 12:33:56.089714,defined,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-15 12:33:56.089714,2020-05-15 12:34:04.568484,0.0023552138888888892,1,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
170,4729445847,2020-05-15 12:34:04.568484,defined,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-15 12:34:04.568484,2020-05-16 18:13:07.905669,29.650926995833338,1,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
172,4729445847,2020-05-16 18:13:07.905669,activated,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-16 18:13:07.905669,2020-05-16 18:13:36.254919,0.007874791666666667,2,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
174,4729445847,2020-05-16 18:13:36.254919,sent,ANALY_DCSC,aipanda053.cern.ch,1,failed,2020-05-16 18:13:36.254919,2020-05-16 18:13:38.567413,0.0006423594444444445,3,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
173,4729445847,2020-05-16 18:13:38.567413,starting,ANALY_DCSC,aipanda053.cern.ch,1,failed,2020-05-16 18:13:38.567413,2020-05-18 18:21:24.803153,48.12950992777778,4,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
178,4729445847,2020-05-18 18:21:24.803153,running,ANALY_DCSC,aipanda056.cern.ch,1,failed,2020-05-18 18:21:24.803153,2020-05-18 18:21:49.769281,0.0069350355555555555,5,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
176,4729445847,2020-05-18 18:21:49.769281,transferring,ANALY_DCSC,aipanda051.cern.ch,1,failed,2020-05-18 18:21:49.769281,2020-05-18 18:22:04.117444,0.0039856008333333335,6,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
177,4729445847,2020-05-18 18:22:04.117444,holding,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:22:04.117444,2020-05-18 18:29:01.863469,0.11604056250000001,7,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
175,4729445847,2020-05-18 18:29:01.863469,failed,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:29:01.863469,2020-05-25 19:36:58.446323,169.1323841261111,8,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
179,4729445847,2020-05-25 19:36:58.446323,failed,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-25 19:36:58.446323,2020-05-25 19:36:58.446323,0.0,8,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
182,4729445848,2020-05-15 12:33:44.735017,pending,ANALY_DCSC,aipanda042.cern.ch,1,failed,2020-05-15 12:33:44.735017,2020-05-15 12:33:56.111947,0.0031602583333333336,0,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
180,4729445848,2020-05-15 12:33:56.111947,defined,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-15 12:33:56.111947,2020-05-15 12:34:04.589632,0.0023549125000000004,1,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
181,4729445848,2020-05-15 12:34:04.589632,defined,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-15 12:34:04.589632,2020-05-16 18:13:07.885893,29.650915628055557,1,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
183,4729445848,2020-05-16 18:13:07.885893,activated,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-16 18:13:07.885893,2020-05-16 18:13:36.315252,0.007897044166666667,2,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
185,4729445848,2020-05-16 18:13:36.315252,sent,ANALY_DCSC,aipanda053.cern.ch,1,failed,2020-05-16 18:13:36.315252,2020-05-16 18:13:38.578706,0.0006287372222222223,3,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
184,4729445848,2020-05-16 18:13:38.578706,starting,ANALY_DCSC,aipanda053.cern.ch,1,failed,2020-05-16 18:13:38.578706,2020-05-18 18:26:26.652890,48.213353940000005,4,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
186,4729445848,2020-05-18 18:26:26.652890,running,ANALY_DCSC,aipanda056.cern.ch,1,failed,2020-05-18 18:26:26.652890,2020-05-18 18:26:43.980361,0.0048131863888888895,5,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
187,4729445848,2020-05-18 18:26:43.980361,transferring,ANALY_DCSC,aipanda051.cern.ch,1,failed,2020-05-18 18:26:43.980361,2020-05-18 18:27:00.608319,0.004618877222222222,6,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
188,4729445848,2020-05-18 18:27:00.608319,holding,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:27:00.608319,2020-05-18 18:33:13.079365,0.10346417944444444,7,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
189,4729445848,2020-05-18 18:33:13.079365,failed,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:33:13.079365,2020-05-25 19:36:58.558593,169.0626331188889,8,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
190,4729445848,2020-05-25 19:36:58.558593,failed,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-25 19:36:58.558593,2020-05-25 19:36:58.558593,0.0,8,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
193,4729445849,2020-05-15 12:33:44.780181,pending,ANALY_DCSC,aipanda042.cern.ch,1,failed,2020-05-15 12:33:44.780181,2020-05-15 12:33:56.134069,0.003153857777777778,0,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
191,4729445849,2020-05-15 12:33:56.134069,defined,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-15 12:33:56.134069,2020-05-15 12:34:04.608550,0.0023540225,1,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
192,4729445849,2020-05-15 12:34:04.608550,defined,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-15 12:34:04.608550,2020-05-16 18:13:07.895598,29.65091306888889,1,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
194,4729445849,2020-05-16 18:13:07.895598,activated,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-16 18:13:07.895598,2020-05-16 18:13:36.373369,0.007910491944444445,2,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
196,4729445849,2020-05-16 18:13:36.373369,sent,ANALY_DCSC,aipanda053.cern.ch,1,failed,2020-05-16 18:13:36.373369,2020-05-16 18:13:38.590383,0.0006158372222222223,3,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
195,4729445849,2020-05-16 18:13:38.590383,starting,ANALY_DCSC,aipanda053.cern.ch,1,failed,2020-05-16 18:13:38.590383,2020-05-18 18:26:26.671597,48.213355892777784,4,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
197,4729445849,2020-05-18 18:26:26.671597,running,ANALY_DCSC,aipanda056.cern.ch,1,failed,2020-05-18 18:26:26.671597,2020-05-18 18:26:43.991874,0.004811188055555556,5,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
198,4729445849,2020-05-18 18:26:43.991874,transferring,ANALY_DCSC,aipanda051.cern.ch,1,failed,2020-05-18 18:26:43.991874,2020-05-18 18:27:00.625334,0.004620405555555556,6,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
199,4729445849,2020-05-18 18:27:00.625334,holding,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:27:00.625334,2020-05-18 18:33:12.986504,0.10343365833333333,7,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
200,4729445849,2020-05-18 18:33:12.986504,failed,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:33:12.986504,2020-05-25 19:36:58.667572,169.06268918555557,8,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
201,4729445849,2020-05-25 19:36:58.667572,failed,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-25 19:36:58.667572,2020-05-25 19:36:58.667572,0.0,8,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
204,4729445850,2020-05-15 12:33:44.819201,pending,ANALY_DCSC,aipanda042.cern.ch,1,failed,2020-05-15 12:33:44.819201,2020-05-15 12:33:56.153153,0.00314832,0,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
202,4729445850,2020-05-15 12:33:56.153153,defined,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-15 12:33:56.153153,2020-05-15 12:34:04.627977,0.0023541177777777777,1,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
203,4729445850,2020-05-15 12:34:04.627977,defined,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-15 12:34:04.627977,2020-05-16 18:13:07.916671,29.650913526111115,1,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
205,4729445850,2020-05-16 18:13:07.916671,activated,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-16 18:13:07.916671,2020-05-16 18:13:36.432638,0.007921101944444446,2,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
207,4729445850,2020-05-16 18:13:36.432638,sent,ANALY_DCSC,aipanda053.cern.ch,1,failed,2020-05-16 18:13:36.432638,2020-05-16 18:13:38.600466,0.0006021744444444445,3,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
206,4729445850,2020-05-16 18:13:38.600466,starting,ANALY_DCSC,aipanda053.cern.ch,1,failed,2020-05-16 18:13:38.600466,2020-05-18 18:26:26.688061,48.213357665277776,4,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
208,4729445850,2020-05-18 18:26:26.688061,running,ANALY_DCSC,aipanda056.cern.ch,1,failed,2020-05-18 18:26:26.688061,2020-05-18 18:26:44.011254,0.0048119980555555554,5,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
209,4729445850,2020-05-18 18:26:44.011254,transferring,ANALY_DCSC,aipanda051.cern.ch,1,failed,2020-05-18 18:26:44.011254,2020-05-18 18:27:00.641426,0.0046194922222222235,6,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
210,4729445850,2020-05-18 18:27:00.641426,holding,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:27:00.641426,2020-05-18 18:33:13.743573,0.10363948527777778,7,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
211,4729445850,2020-05-18 18:33:13.743573,failed,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:33:13.743573,2020-05-25 19:36:58.728696,169.0624958675,8,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
212,4729445850,2020-05-25 19:36:58.728696,failed,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-25 19:36:58.728696,2020-05-25 19:36:58.728696,0.0,8,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
215,4729445851,2020-05-15 12:33:44.853990,pending,ANALY_DCSC,aipanda042.cern.ch,1,failed,2020-05-15 12:33:44.853990,2020-05-15 12:33:56.182207,0.0031467269444444444,0,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
213,4729445851,2020-05-15 12:33:56.182207,defined,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-15 12:33:56.182207,2020-05-15 12:34:04.641967,0.0023499333333333334,1,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
214,4729445851,2020-05-15 12:34:04.641967,defined,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-15 12:34:04.641967,2020-05-16 18:13:07.927132,29.650912545833332,1,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
216,4729445851,2020-05-16 18:13:07.927132,activated,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-16 18:13:07.927132,2020-05-16 18:13:36.490201,0.007934185833333334,2,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
218,4729445851,2020-05-16 18:13:36.490201,sent,ANALY_DCSC,aipanda053.cern.ch,1,failed,2020-05-16 18:13:36.490201,2020-05-16 18:13:38.610982,0.0005891058333333334,3,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
217,4729445851,2020-05-16 18:13:38.610982,starting,ANALY_DCSC,aipanda053.cern.ch,1,failed,2020-05-16 18:13:38.610982,2020-05-18 18:26:26.705599,48.21335961583334,4,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
219,4729445851,2020-05-18 18:26:26.705599,running,ANALY_DCSC,aipanda056.cern.ch,1,failed,2020-05-18 18:26:26.705599,2020-05-18 18:26:44.033347,0.004813263333333333,5,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
220,4729445851,2020-05-18 18:26:44.033347,transferring,ANALY_DCSC,aipanda051.cern.ch,1,failed,2020-05-18 18:26:44.033347,2020-05-18 18:27:00.654925,0.004617105,6,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
221,4729445851,2020-05-18 18:27:00.654925,holding,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:27:00.654925,2020-05-18 18:33:13.627257,0.10360342555555557,7,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
222,4729445851,2020-05-18 18:33:13.627257,failed,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:33:13.627257,2020-05-25 19:36:58.789901,169.06254517888888,8,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
223,4729445851,2020-05-25 19:36:58.789901,failed,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-25 19:36:58.789901,2020-05-25 19:36:58.789901,0.0,8,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
226,4729445852,2020-05-15 12:33:44.885887,pending,ANALY_DCSC,aipanda042.cern.ch,1,failed,2020-05-15 12:33:44.885887,2020-05-15 12:33:56.216185,0.0031473050000000004,0,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
224,4729445852,2020-05-15 12:33:56.216185,defined,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-15 12:33:56.216185,2020-05-15 12:34:04.655759,0.0023443261111111115,1,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
225,4729445852,2020-05-15 12:34:04.655759,defined,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-15 12:34:04.655759,2020-05-16 18:13:07.938229,29.650911797222225,1,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
227,4729445852,2020-05-16 18:13:07.938229,activated,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-16 18:13:07.938229,2020-05-16 18:13:36.563298,0.007951408055555557,2,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
229,4729445852,2020-05-16 18:13:36.563298,sent,ANALY_DCSC,aipanda053.cern.ch,1,failed,2020-05-16 18:13:36.563298,2020-05-16 18:13:38.624533,0.0005725652777777777,3,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
228,4729445852,2020-05-16 18:13:38.624533,starting,ANALY_DCSC,aipanda053.cern.ch,1,failed,2020-05-16 18:13:38.624533,2020-05-18 18:26:26.739613,48.2133653,4,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
230,4729445852,2020-05-18 18:26:26.739613,running,ANALY_DCSC,aipanda056.cern.ch,1,failed,2020-05-18 18:26:26.739613,2020-05-18 18:26:44.047962,0.0048078747222222214,5,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
231,4729445852,2020-05-18 18:26:44.047962,transferring,ANALY_DCSC,aipanda051.cern.ch,1,failed,2020-05-18 18:26:44.047962,2020-05-18 18:27:00.668795,0.004616898055555556,6,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
232,4729445852,2020-05-18 18:27:00.668795,holding,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:27:00.668795,2020-05-18 18:33:14.131869,0.10373974277777778,7,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
233,4729445852,2020-05-18 18:33:14.131869,failed,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:33:14.131869,2020-05-25 19:36:58.851821,169.06242220888893,8,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
234,4729445852,2020-05-25 19:36:58.851821,failed,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-25 19:36:58.851821,2020-05-25 19:36:58.851821,0.0,8,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
237,4729445853,2020-05-15 12:33:44.972551,pending,ANALY_DCSC,aipanda042.cern.ch,1,failed,2020-05-15 12:33:44.972551,2020-05-15 12:33:56.237444,0.0031291369444444448,0,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'transferring', 'holding', 'failed']"
