,PANDAID,MODIFTIME_EXTENDED,JOBSTATUS,COMPUTINGSITE,MODIFICATIONHOST,ATTEMPTNR,FINAL_STATUS,START_TS,END_TS,DURATION,STATUS_LEVEL,SEQUENCE
546,4729445903,2020-05-15 12:33:46.368601,pending,ANALY_DCSC,aipanda042.cern.ch,1,failed,2020-05-15 12:33:46.368601,2020-05-15 12:33:56.975340,0.0029463163888888894,0,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'holding', 'failed']"
544,4729445903,2020-05-15 12:33:56.975340,defined,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-15 12:33:56.975340,2020-05-15 12:34:05.271726,0.002304551666666667,1,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'holding', 'failed']"
545,4729445903,2020-05-15 12:34:05.271726,defined,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-15 12:34:05.271726,2020-05-16 18:13:08.577214,29.650918191111113,1,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'holding', 'failed']"
547,4729445903,2020-05-16 18:13:08.577214,activated,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-16 18:13:08.577214,2020-05-20 23:02:05.561035,100.81582883916667,2,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'holding', 'failed']"
548,4729445903,2020-05-20 23:02:05.561035,sent,ANALY_DCSC,aipanda189.cern.ch,1,failed,2020-05-20 23:02:05.561035,2020-05-20 23:02:06.859989,0.00036082055555555564,3,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'holding', 'failed']"
549,4729445903,2020-05-20 23:02:06.859989,starting,ANALY_DCSC,aipanda053.cern.ch,1,failed,2020-05-20 23:02:06.859989,2020-05-21 04:39:52.886934,5.629451929166667,4,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'holding', 'failed']"
550,4729445903,2020-05-21 04:39:52.886934,running,ANALY_DCSC,aipanda056.cern.ch,1,failed,2020-05-21 04:39:52.886934,2020-05-25 13:00:36.641681,104.34548742972223,5,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'holding', 'failed']"
551,4729445903,2020-05-25 13:00:36.641681,holding,ANALY_DCSC,aipanda051.cern.ch,1,failed,2020-05-25 13:00:36.641681,2020-05-25 13:04:52.687926,0.07112395694444444,6,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'holding', 'failed']"
552,4729445903,2020-05-25 13:04:52.687926,failed,ANALY_DCSC,aipanda051.cern.ch,1,failed,2020-05-25 13:04:52.687926,2020-05-25 13:04:52.687926,0.0,7,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'holding', 'failed']"
555,4729445904,2020-05-15 12:33:46.407091,pending,ANALY_DCSC,aipanda042.cern.ch,1,failed,2020-05-15 12:33:46.407091,2020-05-15 12:33:56.996361,0.002941463888888889,0,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'holding', 'failed']"
553,4729445904,2020-05-15 12:33:56.996361,defined,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-15 12:33:56.996361,2020-05-15 12:34:05.288728,0.002303435277777778,1,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'holding', 'failed']"
554,4729445904,2020-05-15 12:34:05.288728,defined,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-15 12:34:05.288728,2020-05-16 18:13:08.588908,29.650916716666668,1,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'holding', 'failed']"
556,4729445904,2020-05-16 18:13:08.588908,activated,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-16 18:13:08.588908,2020-05-20 23:02:05.639636,100.81584742444444,2,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'holding', 'failed']"
557,4729445904,2020-05-20 23:02:05.639636,sent,ANALY_DCSC,aipanda189.cern.ch,1,failed,2020-05-20 23:02:05.639636,2020-05-20 23:02:06.874368,0.00034298111111111116,3,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'holding', 'failed']"
558,4729445904,2020-05-20 23:02:06.874368,starting,ANALY_DCSC,aipanda053.cern.ch,1,failed,2020-05-20 23:02:06.874368,2020-05-21 04:39:52.902268,5.629452194444444,4,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'holding', 'failed']"
559,4729445904,2020-05-21 04:39:52.902268,running,ANALY_DCSC,aipanda056.cern.ch,1,failed,2020-05-21 04:39:52.902268,2020-05-25 13:00:39.695840,104.34633154777777,5,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'holding', 'failed']"
561,4729445904,2020-05-25 13:00:39.695840,holding,ANALY_DCSC,aipanda055.cern.ch,1,failed,2020-05-25 13:00:39.695840,2020-05-25 13:05:45.450333,0.08493180361111112,6,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'holding', 'failed']"
560,4729445904,2020-05-25 13:05:45.450333,failed,ANALY_DCSC,aipanda055.cern.ch,1,failed,2020-05-25 13:05:45.450333,2020-05-25 13:05:45.450333,0.0,7,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'holding', 'failed']"
564,4729445906,2020-05-15 12:33:46.440751,pending,ANALY_DCSC,aipanda042.cern.ch,1,failed,2020-05-15 12:33:46.440751,2020-05-15 12:33:57.014964,0.002937281388888889,0,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'holding', 'failed']"
562,4729445906,2020-05-15 12:33:57.014964,defined,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-15 12:33:57.014964,2020-05-15 12:34:05.311737,0.0023046591666666667,1,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'holding', 'failed']"
563,4729445906,2020-05-15 12:34:05.311737,defined,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-15 12:34:05.311737,2020-05-16 18:13:08.499406,29.650885463611115,1,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'holding', 'failed']"
565,4729445906,2020-05-16 18:13:08.499406,activated,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-16 18:13:08.499406,2020-05-20 23:03:06.605296,100.83280719166667,2,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'holding', 'failed']"
566,4729445906,2020-05-20 23:03:06.605296,sent,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-20 23:03:06.605296,2020-05-20 23:03:07.908601,0.0003620291666666667,3,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'holding', 'failed']"
567,4729445906,2020-05-20 23:03:07.908601,starting,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-20 23:03:07.908601,2020-05-21 04:32:38.442293,5.491814914444445,4,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'holding', 'failed']"
570,4729445906,2020-05-21 04:32:38.442293,running,ANALY_DCSC,aipanda051.cern.ch,1,failed,2020-05-21 04:32:38.442293,2020-05-21 23:01:46.959699,18.485699279444443,5,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'holding', 'failed']"
569,4729445906,2020-05-21 23:01:46.959699,holding,ANALY_DCSC,aipanda056.cern.ch,1,failed,2020-05-21 23:01:46.959699,2020-05-21 23:07:05.203636,0.0884010936111111,6,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'holding', 'failed']"
568,4729445906,2020-05-21 23:07:05.203636,failed,ANALY_DCSC,aipanda056.cern.ch,1,failed,2020-05-21 23:07:05.203636,2020-05-21 23:07:05.203636,0.0,7,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'holding', 'failed']"
116,4736339135,2020-05-22 00:16:43.054753,pending,SARA-MATRIX,aipanda042.cern.ch,7,failed,2020-05-22 00:16:43.054753,2020-05-22 00:16:52.915351,0.0027390550000000002,0,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'holding', 'failed']"
115,4736339135,2020-05-22 00:16:52.915351,defined,SARA-MATRIX,aipanda052.cern.ch,7,failed,2020-05-22 00:16:52.915351,2020-05-22 00:17:02.865510,0.002763933055555556,1,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'holding', 'failed']"
114,4736339135,2020-05-22 00:17:02.865510,activated,SARA-MATRIX,aipanda052.cern.ch,7,failed,2020-05-22 00:17:02.865510,2020-05-22 04:57:03.378040,4.66680903611111,2,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'holding', 'failed']"
118,4736339135,2020-05-22 04:57:03.378040,sent,SARA-MATRIX,aipanda055.cern.ch,7,failed,2020-05-22 04:57:03.378040,2020-05-22 04:57:05.036754,0.0004607538888888889,3,"['pending', 'defined', 'activated', 'sent', 'starting', 'running', 'holding', 'failed']"
